GEOID,Census,ALOS,MDs,AcuteBeds,ICUs,StaffedBeds,CMI,Discharges
1001,34.3,4.3,84,55,6,55,1.19,2887
1003,182.3,3.966666667,517,296,44,296,1.556666667,17505
1005,12.9,4.7,37,30,5,30,1.11,1005
1007,10.8,10.2,27,25,14,25,1.02,385
1009,12.5,4,59,25,6,25,1.1,835
1011,6.4,4.9,5,30,14,30,1.09,473
1013,12,3.4,22,44,7,44,1.01,1248
1015,183.6,4.5,269,397,24,397,1.313333333,16660
1017,33.5,5.2,7,84,10,84,1.28,2538
1019,10.9,6.6,22,45,14,45,0.89,604
1021,14.3,4.2,34,26,6,26,1.17,1261
1023,5.9,3,10,25,14,25,0.91,68
1025,21.5,3.566666667,40,56,14,56,1.02,2350
1027,12.9,5.1,23,46,4,46,1.14,927
1031,24.3,3.3,91,99,7,99,1.39,3469
1033,84.2,4.25,227,300,22,300,1.27,8190
1035,12.9,3.1,12,44,14,44,0.98,1543
1039,42.4,3.9,95,128,13,128,1.215,4058
1041,3.7,4.2,8,29,14,29,1.09,314
1043,88.4,3.6,217,145,12,145,1.37,9213
1045,20.4,6.6,43,77,6,77,1.28,1132
1047,44.1,3.3,81,109,23,109,1.32,5216
1049,28.3,3.6,78,97,12,97,1.42,3207
1051,20.7,5.15,70,70,5,70,1.155,1483
1053,32.9,4.4,60,95,14,95,1.125,2919
1055,230.4,4.3,267,478,40,478,1.695,19395
1057,10.5,5.5,41,45,8,45,1.12,693
1059,26.2,2.95,54,74,7,74,1.04,2092
1061,9.6,4.4,17,73,6,73,1.2,805
1063,4.8,5,5,20,14,20,0.93,355
1065,7.3,7,12,28,14,28,0.95,380
1069,412.8,4.7,587,577,74,577,1.895,33232
1071,28.3,4.1,80,45,10,92,1.21,2622
1073,2265.4,5.02,3653,3085,281,3251,1.82,154499
1077,129.9,5,215,233,36,233,1.74,12472
1079,6.5,4.1,27,43,6,43,1.18,573
1081,205.7,4.6,338,299,20,299,1.74,17291
1083,34.2,3.2,129,66,10,66,1.6,4144
1089,732.6,4.25,1444,1060,58,1150,1.845,60869
1091,13.6,4.8,47,37,5,37,1.12,1028
1093,18.1,5.15,62,97,8,97,1.06,1393
1095,88.8,4.5,257,204,20,240,1.38,7640
1097,923.3,5.32,1605,1341,75,1341,1.91,62095
1099,5.7,3.6,42,49,8,49,1.09,712
1101,548.9,4.466666667,787,797,58,740,1.67,47258
1103,119.4,4,248,222,23,342,1.47,9754
1107,5.8,4.3,80,49,14,49,1.03,484
1109,17.8,3.8,54,97,9,97,1.33,1736
1111,15.1,1.05,23,15,14,15,0.84,1129
1113,18.3,2.3,57,47,8,47,2.29,2926
1115,23.5,4.6,71,40,6,40,1.08,1850
1117,115,4.4,197,212,32,212,1.75,10376
1119,15,12.6,9,33,14,33,0.81,435
1121,49.3,3.8,118,207,14,207,1.27,4927
1123,20.1,3.1,91,80,6,80,1.175,2954
1125,383.1,4.7,623,524,40,728,1.63,31491
1127,59.5,4.1,114,207,12,207,1.36,5842
1129,6.5,3.2,17,15,14,15,1.12,286
1131,1.4,2.8,7,21,14,21,0.89,180
1133,13.9,4,19,49,4,49,1.01,1258
2020,487.9,5.666666667,1633,729,60,729,2.006666667,30424
2050,13.6,2.7,118,34,14,34,1.04,1822
2070,2.4,3.1,24,16,14,16,1,221
2090,48.2,4.7,304,122,13,122,1.63,4467
2110,16.5,4.1,129,45,9,45,1.34,1647
2122,40.2,3.466666667,227,76,6,76,1.3,3404
2130,9.6,2.8,110,25,4,25,1.24,1257
2150,4.8,2.6,40,24,14,24,1.14,521
2170,49.5,4.5,226,74,14,74,1.84,4324
2180,7.2,2.8,56,18,14,18,0.93,734
2185,2.5,2.8,33,14,14,14,1.14,246
2188,4.1,3,46,17,14,17,0.97,492
2195,3.2,2.9,7,12,14,12,0.91,101
2220,13.8,2.65,120,27,14,27,1.115,707
2261,5.3,2.55,20,24,14,24,1.11,193
2275,2.3,2.9,9,8,14,8,0.95,126
4001,46.9,2.4,357,162,14,162,0.99,4517
4003,48.1,2.7,358,135,12,135,1.0975,5799
4005,170.6,3.833333333,627,340,41,340,1.576666667,15045
4007,27,2.5,307,58,8,58,1.19,3253
4009,10.2,2.5,94,49,14,49,1.51,1806
4012,11.4,4.05,68,45,3,42,1.12,752
4013,4784.8,3.881081081,11825,7932,745,7708,1.925882353,411909
4015,249.8,4.06,722,551,80,551,1.6725,22491
4017,58,3.275,328,160,12,160,1.1925,6811
4019,1306.7,4.255555556,3420,2307,287,2362,1.663333333,110052
4021,99.9,2.75,440,262,24,262,1.324,11452
4023,6.9,2.2,56,25,14,25,0.89,1148
4025,153.4,3.65,725,293,39,293,1.66,16109
4027,166.4,4.2,579,406,42,406,1.96,15512
5001,11.5,4.3,34,74,14,74,1.025,1173
5003,10.1,3.7,47,25,6,25,1.18,816
5005,87.5,3.5,210,170,17,170,1.74,9167
5007,142.5,3.333333333,579,275,30,403,1.41,14784
5009,23.5,3,103,120,24,120,1.39,3091
5011,5.7,3,28,25,14,25,1.05,542
5015,8.7,3.55,40,40,14,40,0.94,556
5017,9.2,3.5,22,25,14,25,0.97,510
5019,10.9,2.5,34,25,14,25,1.15,1028
5021,12.4,2.1,24,25,14,25,0.95,729
5023,9,3,32,25,14,25,1.32,733
5027,7.9,3.2,33,30,6,30,1.1,979
5029,7.9,4.2,32,25,14,25,1.29,636
5031,359.3,12.2,630,561,66,481,1.903333333,29825
5033,9.9,3.2,15,35,8,35,1.2,1132
5035,28.6,2.95,32,11,14,11,1.28,3245
5037,8.5,3.9,16,15,14,15,0.91,567
5039,2,2.9,9,22,14,22,0.85,144
5041,12.8,3.6,20,50,14,50,0.885,1117
5043,19.8,3.5,45,49,5,49,1.16,2249
5045,103,3.7,329,249,25,249,1.62,10636
5047,2.7,2.5,17,25,14,25,1.01,225
5049,10.3,3.4,15,25,14,25,0.9,549
5051,229.7,3.375,421,356,41,356,1.57,19106
5055,32.5,3.5,107,114,8,114,1.35,3693
5057,6.2,3.3,31,67,8,67,1.36,691
5059,25.3,4.1,28,64,6,64,1.21,2248
5061,7.3,3.3,57,25,14,20,1.01,559
5063,80.4,4,215,184,12,184,1.58,7611
5065,4.6,5.7,18,25,14,25,0.83,298
5067,16.1,3.5,1,49,14,133,1.28,1532
5069,117.1,5,192,271,34,271,1.52,8873
5071,12.3,2.6,53,57,8,57,1.26,1873
5075,7.6,22.6,25,25,14,25,0.94,334
5081,2.7,2.4,19,25,14,25,0.96,137
5083,6.9,2.95,23,40,14,40,1.1,418
5093,14.1,3,53,58,5,124,1.045,1787
5103,12.9,3.5,44,87,8,87,1.33,1459
5107,12.1,3.1,37,127,6,127,1.04,1540
5109,5,4,80,49,14,49,1.28,458
5113,11.6,4,48,41,6,41,1.18,1174
5115,55.9,4.2,121,137,11,137,1.58,5246
5119,1310.9,4.177777778,2120,1978,118,1923,1.92,97858
5121,5.7,3.4,39,32,2,32,1.07,614
5123,15.8,3.4,49,56,6,56,1.12,2168
5125,49.7,3.5,145,130,16,130,1.43,5394
5127,3.2,2.9,14,24,14,24,1.06,225
5131,344.1,4.4,658,592,68,616,1.725,29963
5133,4,3.6,80,49,14,49,0.88,320
5137,5.2,2.6,23,25,14,25,1.31,544
5139,36.1,3.8,83,111,16,111,1.63,3366
5141,13,4.7,29,25,14,25,1.09,386
5143,333.6,3.633333333,721,615,61,626,2.07,29241
5145,125.9,4.3,224,216,12,438,1.36,11215
5149,19.5,3.85,40,55,14,55,1.11,1626
6001,1276.6,4.683333333,4754,2376,293,2445,1.690833333,105548
6005,24.5,4.3,95,52,6,52,1.43,2184
6007,347.7,3.825,886,455,43,455,1.47,37160
6009,8.6,3.3,42,25,14,25,1.39,924
6011,6.8,4.9,80,49,14,49,1.28,656
6013,809.5,4.5625,3064,1513,163,1563,1.647142857,67745
6015,20.2,3.6,82,39,6,39,1.45,2195
6017,75,3.7,395,173,28,173,1.54,7455
6019,1206.6,165.1555556,2093,1672,141,1631,1.677142857,90777
6021,17.3,2.8,19,15,14,15,0.9,122
6023,126.6,3.875,480,217,24,217,1.3625,10010
6025,110.7,4.35,356,268,28,268,1.535,10469
6027,9.3,2.9,90,29,4,29,1.18,1068
6029,693.7,3.92,1442,1387,137,1383,1.516,65296
6031,135.5,4.1,306,230,22,142,1.57,12298
6033,32.8,3.5,169,50,8,50,1.32,3042
6035,8.9,3.3,61,25,14,25,1.05,987
6037,11452.9,4.848235294,26645,19274,1914,19780,1.7335,914167
6039,38.2,4.3,137,106,10,106,1.51,3658
6041,159.1,3.7,1032,381,30,381,1.62,15326
6043,12.8,3.6,28,18,14,18,1.04,309
6045,61.8,3.666666667,316,100,14,100,1.456666667,5789
6047,132,4.1,292,226,24,226,1.49,13059
6049,4.2,3.15,27,20,14,20,0.94,259
6051,4.6,2.4,62,17,2,17,1.59,820
6053,384.2,7.325,1061,691,47,709,1.505,31317
6055,132.8,4.933333333,444,269,48,269,1.98,10228
6057,65.8,3,271,129,10,129,1.5,7433
6059,2749.6,4.553846154,7937,5305,585,5343,1.681666667,245483
6061,453.7,3.866666667,1598,677,70,677,1.623333333,44066
6063,11.3,3.366666667,58,36,14,36,0.956666667,769
6065,1907,4.075,3890,3363,357,3373,1.666875,170064
6067,1705.4,4.5625,5267,2640,262,2593,1.92625,131988
6069,16.4,3.8,99,49,8,49,1.19,1795
6071,2204.2,4.105555556,4725,3684,335,4070,1.581666667,179751
6073,3152.4,4.486666667,8857,5110,478,5942,1.905333333,258920
6075,1460,5.22,5073,2369,293,2538,1.781,93283
6077,673.2,4.014285714,1742,1259,110,1259,1.652857143,62550
6079,180.6,4,539,435,54,485,1.696666667,19184
6081,398.5,4.071428571,2039,1058,110,1174,1.837142857,36287
6083,407.3,3.62,1448,697,62,615,1.588,35708
6085,1885.1,4.6,6480,3212,283,3355,1.844444444,143884
6087,170.5,5.3,616,338,22,338,1.786666667,14449
6089,256.5,3.575,429,504,81,504,1.6275,20851
6093,20.9,3.25,148,50,8,50,1.42,2291
6095,311.9,4.45,1274,628,92,692,1.7325,27681
6097,388.7,6.2,1440,692,77,692,1.517142857,31516
6099,615,4.04,1098,1066,74,1218,1.666,49114
6101,3.2,2.4,26,14,14,14,2.14,485
6103,27.1,3.4,125,49,8,65,1.41,3191
6105,5.9,4,23,25,14,25,1.01,231
6107,375.6,11.325,858,683,65,746,1.35,30597
6109,42.6,4,231,84,6,84,1.67,4158
6111,685.1,4.885714286,1892,1252,161,1322,1.595714286,62213
6113,55.6,3.7,363,125,14,125,1.61,6535
6115,147.8,4.9,274,209,24,149,1.67,11677
8001,645.6,4.566666667,2382,866,125,874,1.996666667,45202
8003,18.5,3.9,112,49,6,49,1.58,1926
8005,563.1,4.633333333,1605,795,127,803,1.91,45619
8007,3.3,2.6,37,11,14,11,1.15,454
8009,4.9,3.3,8,15,14,15,0.98,199
8013,285.1,3.875,1525,561,66,561,1.775,29147
8014,51.6,2.4,213,92,20,92,1.425,6009
8015,10.3,3,112,25,2,25,1.26,979
8017,0.6,4.1,6,49,14,11,0.89,56
8021,2.9,2.9,18,17,14,17,1.04,161
8029,13.4,3.2,99,49,6,49,1.39,1586
8031,856.1,5.05,2729,1472,192,1751,2.058333333,66315
8035,251.3,3.533333333,954,490,54,589,1.963333333,28280
8037,13.9,3,200,56,5,56,2.11,2077
8041,602.6,3.7,1772,982,91,740,1.893333333,51301
8043,14.9,3.6,88,25,4,25,1.53,1735
8045,38.2,3.6,248,53,5,53,1.53,3601
8049,10.2,3.6,51,21,14,23,1.02,101
8051,4.7,2.2,76,20,14,20,1.43,510
8055,2.1,2.5,29,16,14,16,0.99,139
8059,293,4.775,1173,476,46,476,1.9875,25959
8061,16.2,3.1,9,25,14,25,0.87,34
8063,4.6,3.3,19,19,14,19,0.89,308
8065,0.8,1.8,12,8,14,8,0.9,104
8067,39.2,2.65,292,94,11,94,2.04,4801
8069,305.8,3.58,1361,562,43,560,1.762,29183
8071,7.2,3.4,46,25,14,25,0.96,479
8073,2.6,3.3,23,15,14,15,0.97,137
8075,8.1,3,68,25,4,25,1.46,1100
8077,185.7,3.133333333,763,335,30,335,1.706666667,18899
8081,8.8,3.2,44,25,14,25,1.39,819
8083,9.6,3.1,78,25,4,25,1.27,1027
8085,18.3,2.4,177,50,8,50,1.42,3031
8087,9.3,2.6,92,61,6,61,1.3,1360
8089,256.2,3,74,522,506,522,1.18,1048
8095,23.4,3.1,27,40,14,40,0.935,258
8097,6.4,3.3,78,25,4,25,1.49,716
8099,8.2,2.7,52,25,14,25,0.97,537
8101,207.8,4.6,727,318,18,318,1.745,16003
8103,18,2.25,24,35,14,35,1.145,420
8105,6.7,3.3,33,17,14,17,0.98,443
8107,8.7,2.8,106,39,4,39,1.97,1334
8115,2,2.9,10,9,14,9,0.9,154
8117,8.6,3,94,34,8,34,1.72,1286
8119,4.4,3,40,15,14,15,1.31,392
8123,142.3,4.9,561,275,22,275,1.79,12386
8125,5.8,2.7,46,31,14,30,1.095,535
9001,986.6,4.516666667,4044,1593,158,1593,1.648333333,85304
9003,1249,4.442857143,4291,1829,219,2630,1.621428571,107228
9005,67.7,3.5,346,157,21,242,1.33,6807
9007,116.7,4.1,656,187,24,278,1.5,10920
9009,1463.5,5.425,4544,2043,108,1847,1.51,101536
9011,270.2,4.6,939,401,22,419,1.62,22304
9013,60.6,5.55,200,152,16,152,1.405,3970
9015,64.7,4,371,144,6,144,1.33,6218
10001,193.2,4.9,523,281,29,281,1.63,15070
10003,836.1,4.7,2124,1277,93,1327,1.715,57077
10005,285.4,4.15,808,403,18,417,1.563333333,26443
11001,1553.5,6.157142857,4401,1969,161,1969,1.871428571,95324
12001,1077.4,5.6,1879,1302,66,1596,1.95,71199
12003,2.9,3.4,54,21,14,21,0.94,312
12005,317.3,4.9,550,515,77,515,1.735,23390
12007,11.1,4.2,45,25,14,25,1.03,962
12009,788.1,4.114285714,1735,1465,149,1465,1.638571429,70169
