Obs,GEOID,Population,DemRep,WParty
1,1001,"55,869",0.327,0
2,1003,"223,234",0.253,0
3,1005,"24,686",0.893,0
4,1007,"22,394",0.278,0
5,1009,"57,826",0.094,0
6,1011,"10,101",3.096,1
7,1013,"19,448",0.76,0
8,1015,"113,605",0.403,0
9,1017,"33,254",0.737,0
10,1019,"26,196",0.173,0
11,1021,"44,428",0.193,0
12,1023,"12,589",0.757,0
13,1025,"23,622",0.805,0
14,1027,"13,235",0.236,0
15,1029,"14,910",0.119,0
16,1031,"52,342",0.266,0
17,1033,"55,241",0.437,0
18,1035,"12,067",0.901,0
19,1039,"37,049",0.18,0
20,1037,"10,663",0.527,0
21,1041,"13,772",0.369,0
22,1043,"83,768",0.115,0
23,1045,"49,172",0.32,0
24,1047,"37,196",2.217,1
25,1049,"71,513",0.169,0
26,1051,"81,209",0.306,0
27,1053,"36,633",0.464,0
28,1055,"102,268",0.323,0
29,1057,"16,302",0.203,0
30,1059,"31,362",0.232,0
31,1061,"26,271",0.153,0
32,1063,"8,111",4.789,1
33,1065,"14,651",1.505,1
34,1069,"105,882",0.347,0
35,1071,"51,626",0.22,0
36,1067,"17,205",0.407,0
37,1073,"658,573",1.164,1
38,1077,"92,729",0.357,0
39,1079,"32,924",0.335,0
40,1081,"164,542",0.613,0
41,1075,"13,805",0.178,0
42,1083,"98,915",0.326,0
43,1089,"372,909",0.702,0
44,1091,"18,863",1.073,1
45,1093,"29,709",0.127,0
46,1095,"96,774",0.168,0
47,1085,"9,726",2.789,1
48,1097,"413,210",0.759,0
49,1087,"18,068",5.287,1
50,1099,"20,733",0.748,0
51,1101,"226,486",1.733,1
52,1103,"119,679",0.3,0
53,1107,"19,930",0.728,0
54,1109,"33,114",0.657,0
55,1111,"22,722",0.297,0
56,1113,"57,961",1.04,1
57,1115,"89,512",0.177,0
58,1117,"217,702",0.315,0
59,1105,"8,923",2.718,1
60,1119,"12,427",3.002,1
61,1121,"79,978",0.588,0
62,1123,"40,367",0.406,0
63,1125,"209,355",0.666,0
64,1127,"63,521",0.185,0
65,1129,"16,326",0.393,0
66,1131,"10,373",2.498,1
67,1133,"23,629",0.094,0
68,2000,"731,545",0.713,0
69,4001,"71,887",2.073,1
70,4003,"125,922",0.621,0
71,4005,"143,476",1.535,1
72,4007,"54,018",0.494,0
73,4009,"38,837",0.411,0
74,4011,"9,498",0.577,0
75,4012,"21,108",0.393,0
76,4013,"4,485,414",0.941,0
77,4015,"212,181",0.299,0
78,4017,"110,924",0.8,0
79,4019,"1,047,279",1.342,1
80,4021,"462,789",0.658,0
81,4023,"46,498",3,1
82,4025,"235,099",0.499,0
